,Close,Date,High,Low,Open,Volume
0,69.39,"Mar 14, 2023",69.57,68.46,68.70,"3,487,600"
1,68.41,"Mar 13, 2023",68.89,66.57,66.61,"4,091,900"
2,67.54,"Mar 10, 2023",69.44,67.47,68.58,"3,333,400"
3,68.22,"Mar 09, 2023",69.70,68.00,69.49,"3,571,100"
4,,"Mar 09, 2023",,,Dividend,
5,71.58,"Mar 08, 2023",71.86,71.17,71.25,"3,699,200"
6,70.62,"Mar 07, 2023",72.32,70.41,72.23,"3,787,900"
7,72.71,"Mar 06, 2023",73.08,72.36,73.02,"3,550,600"
8,75.18,"Mar 03, 2023",75.30,74.55,75.12,"2,955,400"
9,73.74,"Mar 02, 2023",73.92,72.28,72.34,"2,824,300"
10,72.71,"Mar 01, 2023",73.11,72.02,72.25,"4,599,900"
11,69.73,"Feb 28, 2023",70.51,69.06,69.55,"3,280,500"
12,68.9,"Feb 24, 2023",69.4,68.4,69.27,"3,987,400"
13,71.49,"Feb 23, 2023",72.41,70.45,72.31,"3,770,200"
14,72.85,"Feb 22, 2023",73.63,72.04,73.35,"3,883,200"
15,75.38,"Feb 21, 2023",76.54,75.13,76.13,"2,769,100"
16,74.44,"Feb 17, 2023",74.53,73.84,74.15,"2,198,700"
17,74.91,"Feb 16, 2023",75.44,73.9,74.07,"2,090,600"
18,74.43,"Feb 15, 2023",74.46,72.0,72.21,"2,428,300"
19,74.7,"Feb 14, 2023",75.02,73.78,74.04,"2,168,000"
20,74.0,"Feb 13, 2023",74.03,72.88,73.06,"1,905,200"
21,73.32,"Feb 10, 2023",73.34,72.45,73.20,"3,051,100"
22,74.37,"Feb 09, 2023",75.78,74.15,75.77,"1,938,100"
23,74.35,"Feb 08, 2023",74.86,74.01,74.53,"2,226,200"
24,74.64,"Feb 07, 2023",75.11,73.45,74.09,"2,630,100"
25,73.88,"Feb 06, 2023",74.0,73.07,73.82,"2,412,500"
26,74.71,"Feb 03, 2023",76.09,74.6,75.34,"3,002,000"
27,75.15,"Feb 02, 2023",77.11,74.71,77.06,"5,612,600"
28,79.09,"Feb 01, 2023",79.39,76.95,78.09,"4,121,300"
29,79.35,"Jan 31, 2023",79.4,78.13,78.41,"2,032,000"
30,78.93,"Jan 30, 2023",79.74,78.93,78.98,"2,394,900"
31,79.61,"Jan 27, 2023",79.82,77.75,79.28,"4,268,600"
32,80.4,"Jan 26, 2023",80.52,79.32,80.28,"2,908,000"
33,79.88,"Jan 25, 2023",79.94,78.54,78.56,"2,161,400"
34,78.99,"Jan 24, 2023",79.83,77.29,79.83,"2,305,100"
35,78.76,"Jan 23, 2023",78.78,78.13,78.58,"2,369,600"
36,78.38,"Jan 20, 2023",78.38,77.04,77.25,"3,673,400"
37,77.32,"Jan 19, 2023",77.83,76.29,76.42,"3,609,200"
38,76.4,"Jan 18, 2023",78.16,76.36,77.72,"3,624,600"
39,75.97,"Jan 17, 2023",76.53,75.75,76.46,"2,624,200"
40,77.55,"Jan 13, 2023",77.56,76.8,76.92,"2,205,000"
41,77.68,"Jan 12, 2023",77.72,75.75,77.21,"4,020,800"
42,75.35,"Jan 11, 2023",76.35,75.17,76.28,"2,356,600"
43,75.61,"Jan 10, 2023",75.65,74.35,74.92,"2,221,400"
44,74.15,"Jan 09, 2023",75.35,74.11,74.90,"3,126,800"
45,74.07,"Jan 06, 2023",74.2,72.56,72.80,"2,810,100"
46,71.95,"Jan 05, 2023",72.15,71.23,71.63,"1,581,800"
47,71.54,"Jan 04, 2023",71.68,70.93,71.52,"1,734,100"
48,71.06,"Jan 03, 2023",71.79,70.62,71.03,"1,979,000"
49,71.2,"Dec 30, 2022",71.53,70.6,70.93,"1,122,800"
50,71.09,"Dec 29, 2022",71.62,70.99,71.34,"1,968,900"
51,70.63,"Dec 28, 2022",72.14,70.55,72.03,"1,903,800"
52,71.43,"Dec 27, 2022",71.81,71.23,71.49,"1,444,000"
53,70.79,"Dec 23, 2022",70.95,70.3,70.67,"1,407,100"
54,70.29,"Dec 22, 2022",70.34,69.31,70.12,"2,109,600"
55,70.74,"Dec 21, 2022",71.07,70.32,70.53,"2,350,500"
56,69.63,"Dec 20, 2022",70.09,69.32,69.35,"2,142,000"
