,Close,Date,High,Low,Open,Volume
0,58.48,"Mar 14, 2023",58.91,57.78,58.09,"1,339,300"
1,57.40,"Mar 13, 2023",58.34,56.36,56.49,"1,481,800"
2,57.37,"Mar 10, 2023",59.02,56.54,58.70,"2,086,800"
3,58.29,"Mar 09, 2023",60.10,58.21,59.50,"3,644,300"
4,59.53,"Mar 08, 2023",59.60,58.83,59.24,"1,036,500"
5,59.00,"Mar 07, 2023",59.99,58.94,59.42,"1,252,100"
6,59.08,"Mar 06, 2023",60.23,58.89,59.94,"1,330,900"
7,60.12,"Mar 03, 2023",60.72,59.44,59.79,"1,482,300"
8,59.18,"Mar 02, 2023",59.29,57.98,58.35,"1,688,600"
9,58.97,"Mar 01, 2023",60.66,58.95,59.68,"1,744,700"
10,59.94,"Feb 28, 2023",60.13,59.05,59.05,"1,584,000"
11,59.18,"Feb 27, 2023",59.72,58.66,59.10,"1,477,900"
12,58.33,"Feb 24, 2023",58.81,57.66,58.05,"1,257,600"
13,58.88,"Feb 23, 2023",59.06,57.87,58.34,"1,501,600"
14,57.46,"Feb 22, 2023",58.48,56.85,57.18,"3,502,700"
15,55.77,"Feb 21, 2023",57.0,55.44,55.91,"2,437,300"
16,57.2,"Feb 17, 2023",58.62,56.92,58.62,"1,984,900"
17,58.9,"Feb 16, 2023",59.46,57.97,58.35,"1,424,800"
18,59.52,"Feb 15, 2023",59.81,58.57,58.98,"1,085,900"
19,59.49,"Feb 14, 2023",60.08,58.6,59.07,"1,025,200"
20,59.78,"Feb 13, 2023",59.79,58.48,58.64,"1,057,000"
21,58.76,"Feb 10, 2023",58.87,57.96,58.00,"1,015,700"
22,58.31,"Feb 09, 2023",59.43,58.11,59.27,"1,690,300"
23,58.49,"Feb 08, 2023",59.95,58.13,59.75,"1,600,600"
24,60.07,"Feb 07, 2023",60.4,58.73,59.21,"1,295,100"
25,59.53,"Feb 06, 2023",60.48,59.52,60.04,"1,064,900"
26,60.74,"Feb 03, 2023",61.69,60.3,61.18,"1,140,600"
27,61.72,"Feb 02, 2023",62.61,60.99,61.32,"1,960,900"
28,60.26,"Feb 01, 2023",60.94,58.02,59.13,"2,222,400"
29,59.49,"Jan 31, 2023",59.52,57.55,57.63,"2,297,700"
30,56.49,"Jan 30, 2023",57.64,56.45,56.79,"1,065,100"
31,57.39,"Jan 27, 2023",57.68,56.86,57.04,"639,800"
32,57.16,"Jan 26, 2023",57.76,56.35,57.00,"872,200"
33,56.63,"Jan 25, 2023",56.98,55.56,55.71,"1,003,500"
34,56.36,"Jan 24, 2023",57.72,54.71,57.72,"1,156,000"
35,56.04,"Jan 23, 2023",56.43,55.37,55.56,"943,000"
36,55.86,"Jan 20, 2023",55.91,54.62,55.38,"1,127,200"
37,55.09,"Jan 19, 2023",56.22,54.7,56.08,"1,494,500"
38,56.3,"Jan 18, 2023",57.64,56.14,56.48,"1,475,500"
39,56.09,"Jan 17, 2023",56.41,55.76,55.95,"1,042,000"
40,56.13,"Jan 13, 2023",56.32,55.07,55.07,"1,054,500"
41,56.01,"Jan 12, 2023",56.33,54.36,55.70,"1,479,300"
42,55.45,"Jan 11, 2023",55.8,55.03,55.67,"1,827,100"
43,53.91,"Jan 10, 2023",54.01,53.04,53.04,"1,687,800"
44,53.39,"Jan 09, 2023",54.4,53.18,53.51,"2,321,200"
45,53.11,"Jan 06, 2023",53.7,52.57,52.62,"1,442,400"
46,52.14,"Jan 05, 2023",52.26,50.7,51.00,"1,261,400"
47,,"Jan 05, 2023",,,Dividend,
48,51.87,"Jan 04, 2023",52.09,51.1,51.41,"1,585,800"
49,50.58,"Jan 03, 2023",50.87,49.87,50.81,"1,164,900"
50,49.92,"Dec 30, 2022",50.19,49.64,50.03,"1,153,200"
51,50.41,"Dec 29, 2022",50.67,49.02,49.40,"996,200"
52,49.38,"Dec 28, 2022",50.82,49.31,50.67,"1,002,800"
53,50.58,"Dec 27, 2022",51.06,50.31,50.53,"860,800"
54,50.8,"Dec 23, 2022",51.06,50.3,50.64,"868,700"
55,50.97,"Dec 22, 2022",51.0,49.88,50.69,"1,407,500"
56,51.38,"Dec 21, 2022",51.78,50.82,50.90,"1,217,300"
57,50.06,"Dec 20, 2022",50.31,49.45,49.54,"1,166,600"
58,50.11,"Dec 19, 2022",50.67,49.79,50.27,"1,618,200"
59,50.55,"Dec 16, 2022",51.04,49.97,50.59,"2,347,600"
60,51.33,"Dec 15, 2022",51.68,49.18,49.53,"2,340,600"
61,50.79,"Dec 14, 2022",51.56,50.09,50.86,"1,405,100"
62,50.59,"Dec 13, 2022",53.02,50.42,52.45,"2,201,500"
63,49.44,"Dec 12, 2022",49.53,48.56,48.87,"1,342,900"
64,48.72,"Dec 09, 2022",49.63,48.7,48.82,"1,003,800"
65,49.46,"Dec 08, 2022",50.27,48.67,49.20,"2,120,800"
66,49.5,"Dec 07, 2022",49.81,46.72,47.36,"4,476,000"
67,45.94,"Dec 06, 2022",47.13,45.47,47.04,"2,305,700"
68,46.86,"Dec 05, 2022",47.42,46.69,46.95,"1,448,600"
69,47.89,"Dec 02, 2022",48.58,47.02,47.19,"1,359,100"
70,48.35,"Dec 01, 2022",49.77,48.11,48.49,"1,596,500"
71,47.91,"Nov 30, 2022",47.98,46.02,46.93,"1,471,400"
72,47.2,"Nov 29, 2022",47.24,45.8,45.80,"1,498,800"
73,46.07,"Nov 28, 2022",47.0,45.73,46.49,"954,000"
74,46.82,"Nov 25, 2022",47.08,46.59,46.72,"546,900"
75,47.18,"Nov 23, 2022",47.44,45.39,45.74,"1,223,000"
76,46.0,"Nov 22, 2022",46.4,45.41,46.22,"1,766,900"
77,45.04,"Nov 21, 2022",45.45,44.5,45.44,"806,200"
78,45.52,"Nov 18, 2022",46.22,44.85,46.03,"634,700"
79,45.27,"Nov 17, 2022",45.28,43.81,44.85,"958,500"
80,45.94,"Nov 16, 2022",46.28,45.46,46.02,"918,600"
81,46.24,"Nov 15, 2022",47.25,45.28,46.75,"1,540,600"
