,Close,Date,High,Low,Open,Volume
0,138.10,"Mar 14, 2023",138.27,137.00,137.69,"8,511,100"
1,137.37,"Mar 13, 2023",138.50,136.58,136.68,"9,380,700"
2,136.97,"Mar 10, 2023",138.28,136.09,137.02,"6,687,000"
3,137.17,"Mar 09, 2023",138.98,136.92,138.83,"5,138,600"
4,138.10,"Mar 08, 2023",138.92,137.28,138.56,"6,363,600"
5,139.25,"Mar 07, 2023",141.68,138.79,141.18,"5,795,800"
6,140.65,"Mar 06, 2023",140.98,140.02,140.50,"5,573,600"
7,140.67,"Mar 03, 2023",141.19,139.77,141.04,"5,627,900"
8,140.50,"Mar 02, 2023",140.74,139.50,139.84,"4,928,500"
9,140.15,"Mar 01, 2023",141.28,139.37,141.06,"4,726,700"
10,142.13,"Feb 28, 2023",142.65,140.95,141.00,"6,018,000"
11,141.44,"Feb 27, 2023",143.09,140.66,142.71,"5,549,100"
12,142.47,"Feb 24, 2023",142.74,139.53,140.84,"6,874,500"
13,142.09,"Feb 23, 2023",144.37,140.71,144.37,"7,340,400"
14,144.24,"Feb 22, 2023",147.57,142.76,146.77,"9,948,000"
15,147.33,"Feb 21, 2023",148.34,142.15,142.88,"18,131,300"
16,146.44,"Feb 17, 2023",146.69,144.57,145.11,"8,256,900"
17,144.27,"Feb 16, 2023",145.99,144.18,145.48,"5,437,400"
18,146.57,"Feb 15, 2023",146.6,144.56,144.96,"4,891,400"
19,145.49,"Feb 14, 2023",147.13,144.56,145.73,"4,610,400"
20,145.91,"Feb 13, 2023",146.12,144.51,144.71,"5,338,600"
21,143.72,"Feb 10, 2023",143.94,142.17,143.09,"5,000,900"
22,141.52,"Feb 09, 2023",141.94,140.57,140.87,"4,354,800"
23,140.22,"Feb 08, 2023",141.1,139.99,140.33,"3,897,100"
24,140.98,"Feb 07, 2023",141.3,138.69,139.77,"5,447,100"
25,140.68,"Feb 06, 2023",142.1,140.03,141.82,"5,818,000"
26,141.71,"Feb 03, 2023",143.96,140.86,143.36,"5,718,500"
27,143.62,"Feb 02, 2023",144.86,142.94,144.41,"5,935,600"
28,144.67,"Feb 01, 2023",145.61,142.7,143.66,"4,283,100"
29,143.87,"Jan 31, 2023",143.88,141.66,142.32,"4,701,200"
30,142.15,"Jan 30, 2023",142.45,141.27,142.12,"5,299,200"
31,143.3,"Jan 27, 2023",144.47,141.75,142.60,"6,137,600"
32,142.21,"Jan 26, 2023",143.75,141.76,143.03,"5,273,000"
33,142.34,"Jan 25, 2023",142.84,140.39,142.24,"4,163,900"
34,143.02,"Jan 24, 2023",146.55,141.0,146.55,"4,556,400"
35,142.64,"Jan 23, 2023",143.01,140.2,140.46,"4,383,300"
36,140.54,"Jan 20, 2023",140.78,138.17,139.40,"9,847,700"
37,138.83,"Jan 19, 2023",141.53,138.79,141.39,"5,780,700"
38,140.84,"Jan 18, 2023",144.25,140.48,144.20,"7,558,100"
39,144.41,"Jan 17, 2023",145.71,144.2,145.29,"5,040,800"
40,145.29,"Jan 13, 2023",145.82,143.86,145.53,"4,566,600"
41,144.81,"Jan 12, 2023",146.42,144.39,146.41,"4,157,600"
42,146.13,"Jan 11, 2023",146.18,144.73,145.74,"4,944,900"
43,144.86,"Jan 10, 2023",145.45,143.73,144.94,"3,990,200"
44,144.95,"Jan 09, 2023",147.86,144.8,146.32,"5,918,900"
45,146.78,"Jan 06, 2023",147.55,144.24,144.60,"7,077,300"
46,143.27,"Jan 05, 2023",144.13,142.65,143.46,"4,424,800"
47,143.76,"Jan 04, 2023",144.05,142.07,143.42,"4,446,100"
48,143.6,"Jan 03, 2023",143.71,142.09,142.55,"5,749,900"
49,141.79,"Dec 30, 2022",141.99,140.81,141.56,"3,835,300"
50,142.15,"Dec 29, 2022",143.02,141.75,142.14,"3,057,300"
51,141.29,"Dec 28, 2022",143.67,140.91,143.47,"5,082,100"
52,143.81,"Dec 27, 2022",144.45,143.19,144.04,"3,348,200"
53,143.77,"Dec 23, 2022",143.8,142.28,143.05,"3,182,500"
54,143.48,"Dec 22, 2022",144.98,141.93,144.77,"4,360,800"
55,145.18,"Dec 21, 2022",145.94,144.26,144.32,"4,575,500"
56,144.05,"Dec 20, 2022",144.64,142.25,142.92,"5,669,800"
57,142.8,"Dec 19, 2022",143.56,141.73,143.01,"5,022,500"
58,142.75,"Dec 16, 2022",144.72,142.57,144.48,"13,447,700"
59,145.36,"Dec 15, 2022",146.42,143.63,145.58,"5,838,000"
60,146.67,"Dec 14, 2022",148.53,145.96,147.09,"6,778,200"
61,147.49,"Dec 13, 2022",150.2,146.74,150.00,"7,802,700"
62,148.02,"Dec 12, 2022",148.1,145.56,145.90,"6,477,400"
63,145.31,"Dec 09, 2022",147.72,145.22,147.47,"9,309,800"
64,148.78,"Dec 08, 2022",149.28,148.14,149.16,"4,504,200"
65,,"Dec 08, 2022",,,Dividend,
66,149.11,"Dec 07, 2022",151.21,148.82,150.50,"5,850,100"
67,149.89,"Dec 06, 2022",151.91,149.21,151.20,"6,875,200"
68,151.65,"Dec 05, 2022",153.0,150.51,152.75,"7,869,400"
69,153.22,"Dec 02, 2022",153.24,151.48,151.48,"6,911,000"
70,153.37,"Dec 01, 2022",153.61,150.73,152.05,"7,577,400"
71,152.42,"Nov 30, 2022",152.77,151.2,152.61,"10,446,000"
72,152.97,"Nov 29, 2022",153.71,152.55,153.03,"4,613,900"
73,153.51,"Nov 28, 2022",154.64,152.72,152.72,"5,891,600"
74,153.07,"Nov 25, 2022",153.09,151.86,152.12,"2,925,800"
75,152.42,"Nov 23, 2022",153.37,151.88,152.08,"5,640,200"
76,151.69,"Nov 22, 2022",152.45,151.12,152.00,"5,632,800"
77,151.15,"Nov 21, 2022",152.14,150.19,150.61,"7,052,400"
78,150.23,"Nov 18, 2022",150.24,148.77,149.67,"6,329,000"
79,148.0,"Nov 17, 2022",148.73,146.71,147.01,"8,263,800"
80,148.5,"Nov 16, 2022",150.2,147.12,147.88,"10,864,400"
81,147.44,"Nov 15, 2022",150.27,144.55,145.61,"25,516,200"
82,138.39,"Nov 14, 2022",143.32,138.27,141.64,"12,508,600"
83,142.58,"Nov 11, 2022",143.12,139.99,142.67,"6,423,600"
84,142.36,"Nov 10, 2022",142.69,140.5,142.51,"6,770,200"
85,139.47,"Nov 09, 2022",143.16,139.21,142.76,"5,310,700"
86,142.79,"Nov 08, 2022",144.07,141.51,142.58,"5,022,800"
87,142.45,"Nov 07, 2022",142.97,141.26,141.26,"3,788,000"
88,140.97,"Nov 04, 2022",142.21,138.79,142.03,"4,889,800"
89,140.72,"Nov 03, 2022",141.71,139.08,139.51,"3,658,800"
90,140.75,"Nov 02, 2022",143.57,140.7,141.16,"5,174,000"
91,141.69,"Nov 01, 2022",143.55,141.5,142.97,"4,938,100"
92,142.33,"Oct 31, 2022",143.07,141.77,142.34,"7,524,000"
93,142.51,"Oct 28, 2022",142.9,140.04,140.05,"4,549,400"
94,140.73,"Oct 27, 2022",142.1,140.29,141.01,"5,534,300"
95,141.14,"Oct 26, 2022",142.04,139.82,140.36,"6,918,100"
96,140.07,"Oct 25, 2022",140.44,138.32,139.09,"5,017,100"
97,139.41,"Oct 24, 2022",140.48,137.13,137.45,"6,268,900"
98,136.8,"Oct 21, 2022",137.41,134.0,134.81,"6,044,900"
99,134.09,"Oct 20, 2022",135.4,133.65,133.98,"4,251,600"
100,133.76,"Oct 19, 2022",134.73,132.97,134.33,"3,779,800"
101,134.14,"Oct 18, 2022",135.1,133.33,133.43,"5,614,100"
102,131.37,"Oct 17, 2022",132.83,130.59,130.96,"5,937,500"
103,130.43,"Oct 14, 2022",133.22,130.05,132.44,"5,547,000"
104,132.28,"Oct 13, 2022",132.94,128.37,129.28,"6,848,500"
105,131.17,"Oct 12, 2022",134.77,130.97,133.01,"5,649,200"
106,132.67,"Oct 11, 2022",133.8,129.46,129.51,"7,092,000"
107,129.32,"Oct 10, 2022",129.93,128.28,129.53,"3,803,900"
108,128.56,"Oct 07, 2022",131.65,128.07,131.31,"5,693,500"
109,131.68,"Oct 06, 2022",134.48,131.58,133.08,"4,733,500"
110,132.92,"Oct 05, 2022",134.62,132.51,133.76,"4,851,300"
111,134.25,"Oct 04, 2022",135.2,133.37,133.86,"5,378,100"
112,132.53,"Oct 03, 2022",132.79,130.01,130.24,"5,858,300"
113,129.7,"Sep 30, 2022",132.36,129.7,132.24,"6,534,100"
114,132.25,"Sep 29, 2022",134.12,131.63,133.50,"5,080,500"
115,133.11,"Sep 28, 2022",133.65,129.72,131.41,"5,612,800"
116,130.95,"Sep 27, 2022",133.43,130.3,132.23,"5,723,900"
117,131.31,"Sep 26, 2022",132.14,128.27,128.75,"7,670,400"
118,130.06,"Sep 23, 2022",133.18,128.77,132.87,"9,065,100"
119,133.39,"Sep 22, 2022",134.72,132.84,134.57,"5,581,500"
120,134.77,"Sep 21, 2022",137.45,134.62,135.44,"8,301,200"
121,133.55,"Sep 20, 2022",133.88,132.54,133.48,"4,654,500"
122,134.33,"Sep 19, 2022",134.76,132.47,132.82,"5,617,700"
123,133.19,"Sep 16, 2022",134.55,131.28,132.00,"13,958,100"
124,133.47,"Sep 15, 2022",135.15,132.97,135.05,"6,729,800"
125,134.92,"Sep 14, 2022",136.53,134.1,135.63,"6,644,900"
126,135.22,"Sep 13, 2022",137.95,134.81,136.86,"5,895,800"
127,138.07,"Sep 12, 2022",138.25,136.97,137.08,"4,761,500"
128,136.84,"Sep 09, 2022",137.5,136.13,136.30,"5,380,200"
129,136.43,"Sep 08, 2022",136.87,134.88,135.40,"5,652,000"
130,135.74,"Sep 07, 2022",135.97,132.74,133.06,"5,686,300"
131,132.34,"Sep 06, 2022",133.62,130.72,133.05,"7,299,900"
132,133.0,"Sep 02, 2022",135.67,132.44,134.85,"5,744,800"
133,134.48,"Sep 01, 2022",135.14,132.4,132.54,"7,247,300"
134,132.55,"Aug 31, 2022",133.79,131.93,132.78,"7,486,900"
