"date","_5SP151040-open","_5SP151040-high","_5SP151040-low","_5SP151040-close","_5SP151040-vol"
"9/11/1989","92.817","92.817","92.817","92.817","0"
"9/12/1989","92.311","92.311","92.311","92.311","0"
"9/13/1989","91.8414","91.8414","91.8414","91.8414","0"
"9/14/1989","91.585","91.585","91.585","91.585","0"
"9/15/1989","92.2557","92.2557","92.2557","92.2557","0"
"9/18/1989","92.3797","92.3797","92.3797","92.3797","0"
"9/19/1989","91.7254","91.7254","91.7254","91.7254","0"
"9/20/1989","91.5663","91.5663","91.5663","91.5663","0"
"9/21/1989","91.1053","91.1053","91.1053","91.1053","0"
"9/22/1989","91.3757","91.3757","91.3757","91.3757","0"
"9/25/1989","91.2477","91.2477","91.2477","91.2477","0"
"9/26/1989","90.9743","90.9743","90.9743","90.9743","0"
"9/27/1989","91.0894","91.0894","91.0894","91.0894","0"
"9/28/1989","91.9903","91.9903","91.9903","91.9903","0"
"9/29/1989","92.1251","92.1251","92.1251","92.1251","0"
"10/2/1989","92.8635","92.8635","92.8635","92.8635","0"
"10/3/1989","94.0996","94.0996","94.0996","94.0996","0"
"10/4/1989","94.234","94.234","94.234","94.234","0"
"10/5/1989","93.497","93.497","93.497","93.497","0"
"10/6/1989","93.8505","93.8505","93.8505","93.8505","0"
"10/9/1989","93.5642","93.5642","93.5642","93.5642","0"
"10/10/1989","93.1489","93.1489","93.1489","93.1489","0"
"10/11/1989","92.6859","92.6859","92.6859","92.6859","0"
"10/12/1989","92.4989","92.4989","92.4989","92.4989","0"
"10/13/1989","86.9899","86.9899","86.9899","86.9899","0"
"10/16/1989","88.5764","88.5764","88.5764","88.5764","0"
"10/17/1989","87.266","87.266","87.266","87.266","0"
"10/18/1989","87.2161","87.2161","87.2161","87.2161","0"
"10/19/1989","88.1137","88.1137","88.1137","88.1137","0"
"10/20/1989","87.7617","87.7617","87.7617","87.7617","0"
"10/23/1989","86.0235","86.0235","86.0235","86.0235","0"
"10/24/1989","84.9142","84.9142","84.9142","84.9142","0"
"10/25/1989","84.5893","84.5893","84.5893","84.5893","0"
"10/26/1989","83.7327","83.7327","83.7327","83.7327","0"
"10/27/1989","84.3498","84.3498","84.3498","84.3498","0"
"10/30/1989","84.3698","84.3698","84.3698","84.3698","0"
"10/31/1989","85.3016","85.3016","85.3016","85.3016","0"
"11/1/1989","85.5069","85.5069","85.5069","85.5069","0"
"11/2/1989","85.7471","85.7471","85.7471","85.7471","0"
"11/3/1989","86.0557","86.0557","86.0557","86.0557","0"
"11/6/1989","85.3657","85.3657","85.3657","85.3657","0"
"11/7/1989","86.2949","86.2949","86.2949","86.2949","0"
"11/8/1989","86.4918","86.4918","86.4918","86.4918","0"
"11/9/1989","85.8478","85.8478","85.8478","85.8478","0"
"11/10/1989","86.5951","86.5951","86.5951","86.5951","0"
"11/13/1989","86.995","86.995","86.995","86.995","0"
"11/14/1989","87.23","87.23","87.23","87.23","0"
"11/15/1989","87.1388","87.1388","87.1388","87.1388","0"
"11/16/1989","86.6855","86.6855","86.6855","86.6855","0"
"11/17/1989","87.1822","87.1822","87.1822","87.1822","0"
"11/20/1989","87.2446","87.2446","87.2446","87.2446","0"
"11/21/1989","87.4679","87.4679","87.4679","87.4679","0"
"11/22/1989","87.7078","87.7078","87.7078","87.7078","0"
"11/24/1989","88.568","88.568","88.568","88.568","0"
"11/27/1989","88.6345","88.6345","88.6345","88.6345","0"
"11/28/1989","88.6453","88.6453","88.6453","88.6453","0"
"11/29/1989","88.4408","88.4408","88.4408","88.4408","0"
"11/30/1989","88.4859","88.4859","88.4859","88.4859","0"
"12/1/1989","89.31","89.31","89.31","89.31","0"
"12/4/1989","88.8301","88.8301","88.8301","88.8301","0"
"12/5/1989","89.06","89.06","89.06","89.06","0"
"12/6/1989","89.1053","89.1053","89.1053","89.1053","0"
"12/7/1989","89.184","89.184","89.184","89.184","0"
"12/8/1989","89.5615","89.5615","89.5615","89.5615","0"
"12/11/1989","89.4987","89.4987","89.4987","89.4987","0"
"12/12/1989","89.9598","89.9598","89.9598","89.9598","0"
"12/13/1989","89.8717","89.8717","89.8717","89.8717","0"
"12/14/1989","89.5483","89.5483","89.5483","89.5483","0"
"12/15/1989","90.1057","90.1057","90.1057","90.1057","0"
"12/18/1989","89.6615","89.6615","89.6615","89.6615","0"
"12/19/1989","88.66","88.66","88.66","88.66","0"
"12/20/1989","88.7228","88.7228","88.7228","88.7228","0"
"12/21/1989","88.7883","88.7883","88.7883","88.7883","0"
"12/22/1989","89.0341","89.0341","89.0341","89.0341","0"
"12/26/1989","88.2926","88.2926","88.2926","88.2926","0"
"12/27/1989","88.5211","88.5211","88.5211","88.5211","0"
"12/28/1989","88.5929","88.5929","88.5929","88.5929","0"
"12/29/1989","89.9024","89.9024","89.9024","89.9024","0"
"1/2/1990","91.8357","91.8357","91.8357","91.8357","0"
"1/3/1990","92.2401","92.2401","92.2401","92.2401","0"
"1/4/1990","92.4922","92.4922","92.4922","92.4922","0"
"1/5/1990","92.6993","92.6993","92.6993","92.6993","0"
"1/8/1990","92.1778","92.1778","92.1778","92.1778","0"
"1/9/1990","91.5303","91.5303","91.5303","91.5303","0"
"1/10/1990","92.7564","92.7564","92.7564","92.7564","0"
"1/11/1990","93.9044","93.9044","93.9044","93.9044","0"
"1/12/1990","91.648","91.648","91.648","91.648","0"
"1/15/1990","91.1799","91.1799","91.1799","91.1799","0"
"1/16/1990","91.0369","91.0369","91.0369","91.0369","0"
"1/17/1990","88.7837","88.7837","88.7837","88.7837","0"
"1/18/1990","87.5421","87.5421","87.5421","87.5421","0"
"1/19/1990","86.0384","86.0384","86.0384","86.0384","0"
"1/22/1990","84.6765","84.6765","84.6765","84.6765","0"
"1/23/1990","84.9954","84.9954","84.9954","84.9954","0"
"1/24/1990","84.9954","84.9954","84.9954","84.9954","0"
"1/25/1990","84.6362","84.6362","84.6362","84.6362","0"
"1/26/1990","85.1209","85.1209","85.1209","85.1209","0"
"1/29/1990","84.9333","84.9333","84.9333","84.9333","0"
"1/30/1990","84.7558","84.7558","84.7558","84.7558","0"
"1/31/1990","84.7607","84.7607","84.7607","84.7607","0"
"2/1/1990","85.0358","85.0358","85.0358","85.0358","0"
"2/2/1990","85.226","85.226","85.226","85.226","0"
"2/5/1990","86.204","86.204","86.204","86.204","0"
"2/6/1990","85.2879","85.2879","85.2879","85.2879","0"
"2/7/1990","85.5542","85.5542","85.5542","85.5542","0"
"2/8/1990","85.1197","85.1197","85.1197","85.1197","0"
"2/9/1990","85.0079","85.0079","85.0079","85.0079","0"
"2/12/1990","84.2362","84.2362","84.2362","84.2362","0"
"2/13/1990","84.1298","84.1298","84.1298","84.1298","0"
"2/14/1990","84.0491","84.0491","84.0491","84.0491","0"
"2/15/1990","83.9374","83.9374","83.9374","83.9374","0"
"2/16/1990","84.9813","84.9813","84.9813","84.9813","0"
"2/20/1990","84.5783","84.5783","84.5783","84.5783","0"
"2/21/1990","84.5124","84.5124","84.5124","84.5124","0"
"2/22/1990","83.8238","83.8238","83.8238","83.8238","0"
"2/23/1990","83.2319","83.2319","83.2319","83.2319","0"
